carrot,potato,beans,cauliflower,bottleguard,tomato,cowpeas,chillies,result
1,1,1,0,0,0,0,0,cauliflower
1,0,0,0,0,0,0,0,potato
0,1,1,1,0,0,0,0,bottleguard
0,0,1,1,1,0,0,0,tomato
1,1,0,0,0,0,1,0,cauliflower
0,1,0,1,0,0,1,0,bottleguard
0,1,1,1,0,0,0,0,bottleguard
1,1,0,0,0,0,1,0,cauliflower
0,1,0,0,0,0,0,0,cowpeas
0,0,1,0,0,0,0,0,cauliflower
0,0,0,0,0,0,1,0,cauliflower
1,1,0,0,0,0,0,0,beans
1,1,0,0,0,0,0,0,cowpeas
0,1,1,0,0,0,0,0,cauliflower
0,1,0,0,0,0,1,0,cauliflower
0,0,0,0,0,0,1,0,cauliflower
0,0,0,1,0,0,0,0,bottleguard
0,0,0,0,1,0,0,0,tomato
0,0,0,0,1,0,0,0,chillies
0,0,1,1,0,0,0,0,bottleguard
0,0,0,1,0,0,1,0,beans
0,0,0,1,1,0,0,0,tomato
0,0,0,1,1,0,0,0,chillies
0,0,0,0,1,1,0,0,carrot
0,0,0,1,1,1,0,0,carrot
1,0,0,0,0,0,0,1,potato
1,0,0,0,1,0,0,1,potato
0,0,0,0,0,0,0,1,carrot
0,0,0,0,1,1,0,0,carrot
0,0,1,1,0,0,0,0,tomato
1,0,0,1,1,0,0,0,potato
1,1,0,0,0,0,0,0,carrot
0,1,0,0,0,0,0,0,carrot
0,0,1,0,0,0,0,0,tomato
0,1,1,0,0,0,0,0,tomato
1,1,1,0,0,0,0,0,carrot
1,0,1,1,0,0,0,0,tomato
1,0,0,1,0,0,1,0,tomato
1,0,0,0,0,0,0,0,beans
1,0,0,0,0,0,0,0,cowpeas
0,0,1,1,0,0,0,0,tomato
0,0,0,1,0,0,1,0,tomato
0,0,0,1,0,1,0,0,carrot
0,0,1,0,0,0,0,0,cauliflower
0,0,0,0,0,0,1,0,cauliflower
0,0,0,1,0,0,0,0,tomato
0,0,0,1,0,1,0,0,carrot
0,0,0,1,0,1,0,0,carrot
0,0,0,0,0,1,0,0,carrot
1,0,0,0,0,0,0,0,beans
1,0,0,1,0,1,0,0,beans
1,0,0,0,0,1,0,0,beans
1,0,1,0,0,0,0,0,cauliflower
0,0,1,0,0,0,0,0,cauliflower
